Office of Field Operations - Innovation and Strategy Directorate - Data Analysis and Reporting,,,,,,,,,,,,,,
"OFO Inadmissible Case By Case  April 1, 2025 to April 30, 2025",,,,,,,,,,,,,,
Event Created Datetime,Field Office Name,Citizenship Country Name,Age at Event Creation Time,UAC Indicator (Derived),FMUA Indicator (Derived),Cred Fear Indicator (Derived),Marital Status Name,Gender,Entry Status,Event Reason,Disposition Name,I216 Custody Transfer To (Agency),Custody Date/Time Out (Latest),Event Subject Count
04/01/2025 00:06:30,HOUSTON,CHINA,33,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/02/2025 11:10:00,1
04/01/2025 00:16:31,PORTLAND,MEXICO,38,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,PAROLED-(DA)-ADVANCE PAROLE,,04/01/2025 00:23:00,1
04/01/2025 00:38:33,SAN DIEGO,MEXICO,23,,NO,NO,SINGLE,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,PAROLED-(DA)-ADVANCE PAROLE,,04/01/2025 01:23:00,1
04/01/2025 00:38:48,PRECLEARANCE,INDIA,26,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 00:40:52,LAREDO,MEXICO,49,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 04:01:00,1
04/01/2025 00:42:06,SAN DIEGO,MEXICO,56,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 00:48:00,1
04/01/2025 00:43:16,PRECLEARANCE,INDIA,23,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),21,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),26,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),27,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),29,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),30,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),32,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),33,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,3
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),34,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),36,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),47,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),53,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:45:18,LOS ANGELES,MYANMAR (BURMA),54,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 00:49:01,NEW YORK,TAIWAN - REPUBLIC OF CHINA,38,,NO,NO,DIVORCED,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,VISA WAIVER PROGRAM (VWP) - REFUSAL,RETURN TO FOREIGN,04/02/2025 01:48:00,1
04/01/2025 00:51:53,TUCSON,MEXICO,49,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,PAROLED-(DA)-ADVANCE PAROLE,,04/01/2025 01:03:00,1
04/01/2025 01:05:16,SEATTLE,PHILIPPINES,39,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREW MEMBER REFUSED LANDING RIGHTS (DXR),,03/31/2025 20:24:00,1
